"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6094","test_contact_us_form","test","Wed May 07 20:03:02 EEST 2025","passed","Wed May 07 20:03:08 EEST 2025","","test_6_contact_us_form","",""
"","10150","test_signup_with_existing_email_shows_error","test","Wed May 07 20:02:52 EEST 2025","passed","Wed May 07 20:03:02 EEST 2025","","test_5_register_user_with_existing_email","",""
"","8685","test_register_user","test","Wed May 07 20:01:49 EEST 2025","passed","Wed May 07 20:01:57 EEST 2025","","test_1_register_user","",""
"","11024","test_login_user_and_logout","test","Wed May 07 20:02:40 EEST 2025","passed","Wed May 07 20:02:51 EEST 2025","","test_4_logout_user","",""
"","4153","test_verify_all_products_and_product_detail_page","test","Wed May 07 20:03:13 EEST 2025","passed","Wed May 07 20:03:17 EEST 2025","","test_8_verify_all_products_and_product_detail_page","",""
"","9117","test_verify_subscription_home_page","test","Wed May 07 20:01:39 EEST 2025","passed","Wed May 07 20:01:48 EEST 2025","","test_10_verify_subscription_home_page","",""
"","3659","test_verify_test_cases_page","test","Wed May 07 20:03:09 EEST 2025","passed","Wed May 07 20:03:12 EEST 2025","","test_7_verify_test_cases_page","",""
"","5922","test_search_product","test","Wed May 07 20:03:17 EEST 2025","passed","Wed May 07 20:03:23 EEST 2025","","test_9_search_product","",""
"","36726","test_login_user_with_correct_credentials","test","Wed May 07 20:01:58 EEST 2025","broken","Wed May 07 20:02:35 EEST 2025","","test_2_login_user_delete","",""
"","4622","test_login_with_incorrect_credentials","test","Wed May 07 20:02:35 EEST 2025","passed","Wed May 07 20:02:40 EEST 2025","","test_3_login_user_incorrect_credentials","",""
